Entidad,Nombre_Banco,Periodo,Activo,Disponibilidades,Disponibilidades en pesos,Caja $,BCRA $,Disponibilidades en ME,Caja ME,BCRA ME,Titulos públicos y privados,Titulos públicos y privados en pesos,Titulos públicos y privados en ME,Letras y Notas BCRA,Prestamos,Prestamos totales,Volumen de Negocio,Prestamos en pesos,Prestamos en ME,Prestamos sector publico no fcro pesos,Prestamos sector publico no fcro ME,Prestamos sector privado no fcro pesos,Prestamos privado no fcro ME,OCIF,Prestamos Comerciales,Propiedad Planta y Equipo,Créditos diversos,Participación en otras sociedades,Activos Intangibles,PPI Deudoras,Pasivo,Depositos,Depositos en pesos,Depositos a la vista $,Depositos a plazo $,Depositos en ME,Depositos a la vista en ME,Depositos a plazo ME,OOIF,PN,Capital social,PN FINAL,Reserva Legal,Previsiones,Ingresos financieros,Egresos financieros,Ingresos por servicios,Egresos por servicios,Gastos de Administracion,Cargo por Incobrabilidad,Utilidades diversas,Perdidas diversas,Gastos de Personal,Utilidad neta
254,BANCO MARIVA S.A.,201707,4789051,423812,139117,4953,134164,284695,28925,163561,184300,30512,153788,0,1580175,1580175,3527139,1159222,420953,13944,0,1109495,420953,2383215,845984,24198,31077,131601,1746,26,4441061,1970059,1294511,369591,419942,675548,326667,342009,2448058,349623,67063,347990,83146,-50776,384438,215242,27042,4773,169640,32671,23497,9580,142215,-1633
254,BANCO MARIVA S.A.,201708,4759396,383553,108802,9143,99659,274751,26761,199469,327665,89565,238100,0,1677289,1677289,3988503,1207059,470230,13464,0,1157064,470230,2154892,861474,23872,26245,135461,1658,24,4392420,2342050,1553228,554926,472637,788822,421853,355629,2017036,349623,67063,366976,83146,-51804,462159,250230,31289,5475,193303,35622,27471,5976,161100,17353
254,BANCO MARIVA S.A.,201709,5572511,403172,73773,9760,64013,329399,14523,252552,375487,262139,113348,0,1791162,1791162,4264319,1345141,446021,12977,0,1294894,446021,2763092,995899,23587,21561,164255,1635,24,5173530,2508876,1669415,603289,499757,839461,491892,337417,2628740,349623,67063,398981,83146,-52890,517797,278561,34897,6190,215721,38553,55183,3743,179790,49358
254,BANCO MARIVA S.A.,201710,4736233,501566,133067,3996,129071,368499,22043,274600,421318,259623,161695,0,1717409,1717409,4076988,1259781,457628,12509,0,1247271,457628,1843079,873173,23559,22277,176921,1785,28,4316305,2388207,1534252,604222,477051,853955,502672,340187,1883253,349623,67063,419928,83146,-54347,586973,311162,40566,6753,244305,42344,71958,5129,204209,70305
254,BANCO MARIVA S.A.,201711,4071011,369287,131305,9310,121995,237982,17354,196130,257205,135508,121697,0,1998748,1998748,4238315,1516029,482719,12004,0,1504022,482719,1165146,1072749,23289,41411,186074,1498,10,3644792,2276354,1523456,603545,405297,752898,459618,284558,1321767,349623,67063,426219,83146,-53100,646536,345823,46304,7357,270599,52141,89443,6438,224898,76596
254,BANCO MARIVA S.A.,201712,6921150,682226,242698,6622,236076,439528,11851,396137,755895,148352,607543,0,2073469,2073469,5370795,1552823,520646,11553,0,1541269,520646,3125784,993286,24217,35404,194533,1456,2,6478795,3349275,2396412,1037704,677213,952863,621395,322688,3063961,349623,67063,442355,83146,-56340,743213,391765,52535,7876,314859,56779,99083,6741,264022,92732
254,BANCO MARIVA S.A.,201801,4477495,465084,197401,10091,187310,267683,51822,111236,408510,325503,83007,0,2054777,2054777,4319469,1506782,550232,11074,0,1495707,550232,920306,941938,253881,33062,183716,0,10,3801208,2303426,1803260,716779,576732,500166,423598,70369,1324961,670755,67063,676287,83146,-51074,81315,56452,5230,935,26337,10550,10910,1131,20066,1936
254,BANCO MARIVA S.A.,201802,6370150,1160154,743979,11666,732313,416175,34191,304438,504169,421641,82528,0,1992008,1992008,5111302,1399327,594878,10560,0,1388766,594878,2061899,880477,252491,59955,182203,0,129,5693381,3165552,2701683,1514127,590145,463869,412332,46201,2370211,680665,67063,676769,83146,-56830,153564,108394,9481,1684,51041,20975,15993,2200,39205,-2808
254,BANCO MARIVA S.A.,201803,5638284,955433,348362,5010,343352,607071,13669,289087,564396,452196,112200,0,2146146,2146146,4934329,1470544,677639,10103,0,1460422,677639,1343458,955006,251170,34296,186996,0,0,4964237,2835069,2078182,795311,657179,756887,672309,78624,1967499,680665,67063,674047,83146,-52844,233524,172017,15820,2491,80686,25292,20157,3326,62849,-9535
254,BANCO MARIVA S.A.,201804,6417067,1115550,294761,6522,288239,820789,32560,642357,612600,588871,23729,0,2156339,2156339,5272473,1516872,641949,9622,0,1507248,641949,1884800,963493,249808,95513,146764,0,9,5756493,3151991,2089563,1040547,702594,1062428,969151,83110,2445672,680665,67063,660574,101692,-59549,306809,232545,20996,3200,108377,37173,26166,4453,85486,-20118
254,BANCO MARIVA S.A.,201805,6727664,1148151,427821,11307,416514,720330,23449,219621,677522,572295,105227,0,2161036,2161036,5313270,1351287,812108,9154,0,1342131,812108,2073403,825767,248451,85729,178716,0,11,6038649,3201703,2277860,1370014,556716,923843,837636,76244,2688372,680665,67063,689015,101692,-61833,445476,348925,27099,4002,141803,39870,68567,6192,112341,13541
254,BANCO MARIVA S.A.,201806,6266412,731857,215902,4560,211342,515955,21969,425728,490976,407410,83566,0,2238953,2238953,5173205,1358563,881708,8674,0,1349887,881708,2083291,861164,247992,120467,199269,0,0,5581901,2965624,1987234,1173678,495342,978390,855544,113004,2474234,680665,67063,684511,101692,-63946,520411,449061,34797,4985,170812,43065,121324,7293,135189,24996
254,BANCO MARIVA S.A.,201807,5584506,599460,143765,9295,134470,455695,19425,336880,626654,472309,154345,0,2278995,2278995,5296668,1471247,809271,8214,0,1463031,809271,1419052,952189,246636,68346,192787,0,7,4917843,3069855,2080917,1294293,550780,988938,864511,110705,1706225,680665,67063,666663,101692,-66855,608984,517737,40561,5837,208412,48932,118651,8407,161891,5190
254,BANCO MARIVA S.A.,201808,8464737,906128,246106,8447,237659,660022,19568,522582,643573,451996,191577,0,2374013,2374013,6332751,1319666,1055762,7722,0,1311940,1050061,3847718,797738,245317,74270,221735,0,13,7820962,4021220,2492945,1721412,557167,1528275,1336247,180903,3652040,680665,67063,643775,101692,-67651,671081,637449,49625,7182,236511,48953,153153,9551,184715,-16558
